design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,PC,DFC,eco_friend,cost,closnesscentrality,betweenesscentrality,modularity_class,outdegree,fpn1,fpn2,fpn3,fpn4,fpn5,fpn6,fpn7,fpn8,fpn9,fpn10,fpn11,fpn12,fpn13,fpn14,fpn15,fpn16,fpn17,fpn18,fpn19,fpn20,fpn21,fpn22,fpn23,fpn24,fpn25,fpn26,fpn27,fpn28,fpn29,fpn30,fpn31,fpn32,fpn33,fpn34,fpn35,fpn36,fpn37,fpn38,fpn39,fpn40,fpn41,fpn42,fpn43,fpn44,fpn45,fpn46,fpn47,fpn48,fpn49,fpn50,fpn51,fpn52,fpn53,fpn54,fpn55,fpn56,fpn57,fpn58,fpn59,fpn60,fpn61,fpn62,fpn63,fpn64,fpn65,fpn66,fpn67,fpn68,fpn69,fpn70,fpn71,fpn72,fpn73,fpn74,fpn75,fpn76,fpn77,fpn78,fpn79,fpn80,fpn81,fpn82,fpn83,fpn84,fpn85,fpn86,fpn87,fpn88,fpn89,fpn90,fpn91,fpn92,fpn93,fpn94,fpn95,fpn96
22117,180,25,8,400,250,25000,600,1,1,0,0,0,2,7.2933,290.28,0.952,7.019,2,474,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22423,150,25,8,400,50,15000,0,1,0,1,0,0,2,3.4442,130.27,1,6.458,1,499,2.993,2.993,2.993,2.993,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,5.846,5.846,5.846,5.846,6.074,6.074,6.074,6.074,4.512,4.512,4.512,4.512,4.631,4.631,4.631,4.631,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,5.92,5.92,5.92,5.92,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22432,150,30,13,400,50,15000,0,1,0,1,0,0,2,1.6582,186.38,1,7.814,0,499,11.54,11.54,11.54,11.54,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13.838,13.838,13.838,13.838,14.376,14.376,14.376,14.376,12.712,12.712,12.712,12.712,13.046,13.046,13.046,13.046,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,14.013,14.013,14.013,14.013,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22435,120,25,8,800,50,15000,0,1,0,1,0,0,2,3.1474,127.88,0.998,7.339,1,498,4.033,4.033,4.033,4.033,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.813,6.813,6.813,6.813,7.078,7.078,7.078,7.078,5.532,5.532,5.532,5.532,5.677,5.677,5.677,5.677,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.899,6.899,6.899,6.899,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22440,180,30,8,800,50,15000,0,1,0,1,0,0,2,2.3333,165.68,0.998,7.096,0,498,7.125,7.125,7.125,7.125,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,9.66,9.66,9.66,9.66,10.035,10.035,10.035,10.035,8.477,8.477,8.477,8.477,8.7,8.7,8.7,8.7,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,9.782,9.782,9.782,9.782,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22449,120,25,8,0,250,15000,0,1,0,1,0,0,2,3.653,112.25,1,5.934,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,4.441,4.441,4.441,4.441,4.614,4.614,4.614,4.614,101,101,101,101,101,101,101,101,101,101,101,101,4.183,4.183,4.183,4.183,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22476,120,30,13,400,250,15000,0,1,0,1,0,0,2,1.6567,166.56,1,7.9,0,499,9.606,9.606,9.606,9.606,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,11.978,11.978,11.978,11.978,12.444,12.444,12.444,12.444,10.816,10.816,10.816,10.816,11.101,11.101,11.101,11.101,101,101,101,101,12.163,12.163,12.163,12.163,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,12.13,12.13,12.13,12.13,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,9.783,9.783,9.783,9.783
22552,120,25,8,400,50,25000,0,1,0,1,0,0,2,3.5002,150.56,0.998,7.239,0,498,7.728,7.728,7.728,7.728,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.655,8.655,8.655,8.655,8.991,8.991,8.991,8.991,8.503,8.503,8.503,8.503,8.509,8.509,8.509,8.509,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.764,8.764,8.764,8.764,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22557,180,30,8,400,50,25000,0,1,0,1,0,0,2,2.5961,188.36,0.994,7.288,0,496,10.783,10.783,10.783,10.783,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13.143,13.143,13.143,13.143,13.654,13.654,13.654,13.654,11.982,11.982,11.982,11.982,12.298,12.298,12.298,12.298,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13.309,13.309,13.309,13.309,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22570,180,30,8,800,50,25000,0,1,0,1,0,0,2,2.3307,197.78,0.988,7.2,0,493,12.353,12.353,12.353,12.353,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,14.549,14.549,14.549,14.549,14.894,14.894,14.894,14.894,13.505,13.505,13.505,13.505,13.86,13.86,13.86,13.86,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,14.733,14.733,14.733,14.733,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
