design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1671,28000,4,100,20,2,1,1,150,0.444,0.443,0.651,0.321,17.78,60,10,4,10.27,8.17,4.11,4.11
1672,28000,4,100,20,2,1,2,300,0.389,0.431,0.704,0.631,18.65,44,11,4,13.64,9.59,4.07,1.79
1674,28000,4,100,20,2,1,2,150,0.476,0.476,0.674,0.327,17.46,64,11,4,9.03,4.09,2.87,2.87
1675,28000,4,100,20,2,2,1,300,0.660,0.739,0.889,0.679,23.36,93,13,4,18.06,14.74,5.12,11.13
1677,28000,4,100,20,2,2,1,150,0.581,0.596,0.747,0.346,22.31,104,14,4,20.58,16.7,16.7,21.66
1678,28000,4,100,20,2,2,2,300,0.667,0.749,0.896,0.682,22.81,110,14,4,16.12,13.5,2.98,10.75
1680,28000,4,100,20,2,2,2,150,0.602,0.626,0.766,0.353,21.8,124,15,5,18.6,14.72,14.55,19.68
1683,28000,4,100,20,3,1,1,150,0.381,0.379,0.631,0.341,17.57,51,10,4,9.45,7.9,3.3,3.3
1686,28000,4,100,20,3,1,2,150,0.404,0.404,0.650,0.346,17.25,53,11,4,8.22,6.67,2.06,2.06
1687,28000,4,100,20,3,2,1,300,0.664,0.750,0.914,0.710,22.68,86,13,4,16.53,13.33,2.48,7.68
1689,28000,4,100,20,3,2,1,150,0.596,0.620,0.780,0.379,21.68,98,14,4,18.13,14.26,12.27,19.22
1690,28000,4,100,20,3,2,2,300,0.670,0.759,0.920,0.712,22.12,102,14,4,15.71,12.26,0.31,7.38
1692,28000,4,100,20,3,2,2,150,0.607,0.636,0.791,0.384,21.17,116,15,4,16.16,12.29,10.46,17.25
1693,28000,4,100,20,4,1,1,300,0.488,0.519,0.690,0.543,17.03,60,10,4,7.37,1.21,1.21,0.76
1695,28000,4,100,20,4,1,1,150,0.502,0.481,0.610,0.227,15.82,77,10,4,2.68,1.13,1.13,0.88
1696,28000,4,100,20,4,1,2,300,0.518,0.551,0.713,0.550,16.72,65,11,4,3.93,0,0,0
1698,28000,4,100,20,4,1,2,150,0.528,0.509,0.629,0.231,15.53,84,11,4,1.55,0,0,0.38
1699,28000,4,100,20,4,2,1,300,0.621,0.669,0.783,0.568,22.1,104,14,4,19.76,15.89,11.82,15.15
1701,28000,4,100,20,4,2,1,150,0.553,0.540,0.650,0.239,22.3,115,14,4,20.54,20.54,16.67,21.62
1702,28000,4,100,20,4,2,2,300,0.641,0.697,0.801,0.576,21.59,124,15,5,17.79,13.91,8.87,13.18
1704,28000,4,100,20,4,2,2,150,0.577,0.571,0.671,0.247,21.81,138,16,5,18.64,17.76,14.77,19.72
1707,28000,4,100,20,5,1,1,150,0.382,0.377,0.624,0.331,17.59,51,10,4,9.53,7.99,3.37,3.37
1710,28000,4,100,20,5,1,2,150,0.406,0.403,0.643,0.336,17.27,54,11,4,8.29,6.74,2.13,2.13
1711,28000,4,100,20,5,2,1,300,0.660,0.744,0.904,0.699,22.72,87,13,4,16.95,14.04,2.64,8.88
1713,28000,4,100,20,5,2,1,150,0.591,0.613,0.769,0.368,21.72,98,14,4,18.29,14.42,14.1,19.38
1714,28000,4,100,20,5,2,2,300,0.667,0.753,0.910,0.701,22.17,103,14,4,16.12,12.97,0.51,8.41
1716,28000,4,100,20,5,2,2,150,0.603,0.630,0.781,0.373,21.21,117,15,4,16.31,12.44,12.05,17.4
1719,28000,4,100,20,6,1,1,150,0.299,0.287,0.583,0.337,17.38,42,10,4,8.72,8.72,7.17,2.56
1722,28000,4,100,20,6,1,2,150,0.310,0.300,0.594,0.339,17.06,43,11,4,7.49,7.49,5.46,1.32
1725,28000,4,100,20,6,2,1,150,0.597,0.624,0.789,0.390,21.1,92,13,4,15.89,12.01,10.91,16.97
1728,28000,4,100,20,6,2,2,150,0.602,0.633,0.794,0.392,20.59,109,14,4,13.91,10.13,10,15
1729,28000,4,50,300,1,1,1,300,0.803,0.716,0.760,0.740,21.46,160,10,5,10.7,13.41,13.41,4.26
1730,28000,4,50,300,1,1,1,800,0.757,0.647,0.704,0.663,22.68,125,10,5,15.43,18.14,18.14,10.38
1732,28000,4,50,300,1,1,2,300,0.825,0.744,0.781,0.749,20.92,183,11,6,7.86,11.32,11.32,3.25
1733,28000,4,50,300,1,1,2,800,0.776,0.670,0.723,0.670,22.31,141,11,5,13.99,16.7,16.7,9.63
1735,28000,4,50,300,1,2,1,300,0.799,0.710,0.759,0.740,30.27,155,16,5,29.75,25.41,31.89,23.63
1736,28000,4,50,300,1,2,1,800,0.768,0.659,0.716,0.667,30.6,134,15,5,33.88,31.8,33.17,30.34
1738,28000,4,50,300,1,2,2,300,0.833,0.756,0.789,0.751,30.34,193,17,6,25.41,24.57,28.44,22.38
1739,28000,4,50,300,1,2,2,800,0.799,0.701,0.744,0.678,30.67,168,17,6,29.75,26.47,33.44,30.38
1741,28000,4,50,300,2,1,1,300,0.845,0.801,0.911,0.911,23.4,135,10,5,13.44,12.01,5.27,2.44
1744,28000,4,50,300,2,1,2,300,0.864,0.826,0.931,0.918,23.02,152,11,5,10.95,10.54,3.8,0.98
1747,28000,4,50,300,2,2,1,300,0.856,0.816,0.924,0.916,33.16,146,15,5,22.31,22.91,21.14,9.5
1750,28000,4,50,300,2,2,2,300,0.888,0.859,0.953,0.927,33.24,183,17,6,18.18,17.58,16.59,8.25
1753,28000,4,50,300,3,1,1,300,0.848,0.811,0.937,0.941,23.15,125,10,5,13.02,11.05,3.64,0.93
1756,28000,4,50,300,3,1,2,300,0.867,0.834,0.956,0.948,22.77,141,11,5,10.54,9.57,0.69,0
1759,28000,4,50,300,3,2,1,300,0.869,0.837,0.957,0.949,33.16,146,15,5,20.66,20.25,15.91,5.75
1762,28000,4,50,300,3,2,2,300,0.897,0.876,0.983,0.959,32.75,178,17,6,16.94,15.45,11.82,4.63
1765,28000,4,50,300,4,1,1,300,0.820,0.749,0.817,0.804,21.24,152,10,5,8.68,12.56,6.37,0.88
1766,28000,4,50,300,4,1,1,800,0.773,0.679,0.761,0.728,22.45,117,10,4,14.54,17.24,15.23,6.78
1768,28000,4,50,300,4,1,2,300,0.840,0.777,0.839,0.812,20.7,172,11,6,6.59,9.95,2.96,0
1771,28000,4,50,300,4,2,1,300,0.823,0.753,0.823,0.807,30.27,155,16,5,26.65,24.3,28.17,16.55
1772,28000,4,50,300,4,2,1,800,0.791,0.701,0.780,0.733,30.6,134,15,5,30.79,26.47,29.45,24.38
1774,28000,4,50,300,4,2,2,300,0.856,0.799,0.853,0.818,30.34,193,17,6,22.31,24.57,23.42,16.82
1777,28000,4,50,300,5,1,1,300,0.845,0.806,0.926,0.930,23.17,126,10,5,13.44,11.12,4.38,1.55
1780,28000,4,50,300,5,1,2,300,0.864,0.829,0.946,0.937,22.78,141,11,5,10.95,9.61,2.28,0.04
1783,28000,4,50,300,5,2,1,300,0.864,0.830,0.946,0.938,33.16,146,15,5,21.28,21.14,17.73,7
1786,28000,4,50,300,5,2,2,300,0.893,0.869,0.971,0.948,32.8,178,17,6,17.56,16.34,13.64,5.88
1789,28000,4,50,300,6,1,1,300,0.844,0.807,0.940,0.950,22.91,117,10,4,13.64,10.12,3.18,0
1795,28000,4,50,300,6,2,1,300,0.869,0.839,0.964,0.958,32.66,142,15,5,20.66,20.07,14.77,4.75
1801,28000,4,50,120,1,1,1,300,0.776,0.719,0.757,0.690,20.92,178,10,6,8.6,11.32,11.32,7.38
1802,28000,4,50,120,1,1,1,800,0.733,0.654,0.704,0.613,22.15,143,10,5,13.37,16.08,16.08,15.35
1803,28000,4,50,120,1,1,1,150,0.709,0.591,0.624,0.360,19.58,195,10,6,10,10,11.08,11.08
1804,28000,4,50,120,1,1,2,300,0.801,0.751,0.781,0.699,20.4,205,11,6,6.59,9.3,9.3,6.38
1805,28000,4,50,120,1,1,2,800,0.754,0.680,0.724,0.621,21.79,162,11,5,11.97,14.69,14.69,13.95
1806,28000,4,50,120,1,1,2,150,0.736,0.627,0.651,0.370,19.09,225,11,7,7.03,8.1,9.19,9.19
1807,28000,4,50,120,1,2,1,300,0.765,0.701,0.749,0.686,29.37,159,16,5,33.59,26.47,28.41,25.57
