L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
140,25,8,800,150,15000,600,0,0,1,1,1189.4,23.359,0.85614,0.76977,219.78
160,25,8,800,150,15000,600,0,0,1,1,1497.4,23.071,0.84734,0.79219,227.81
180,25,8,800,150,15000,600,0,0,1,1,1811.8,22.783,0.83849,0.80513,235.84
120,30,8,800,150,15000,600,0,0,1,1,1220.5,23.302,0.85438,0.72642,221.38
140,30,8,800,150,15000,600,0,0,1,1,1592.4,22.956,0.84381,0.76642,231.02
160,30,8,800,150,15000,600,0,0,1,1,1973.3,22.611,0.83315,0.78827,240.66
180,30,8,800,150,15000,600,0,0,1,1,2362.1,22.265,0.8224,0.8006,250.3
120,35,8,800,150,15000,600,0,0,1,1,1562.4,22.956,0.84381,0.72354,231.02
140,35,8,800,150,15000,600,0,0,1,1,2007.6,22.553,0.83136,0.76296,242.27
160,35,8,800,150,15000,600,0,0,1,1,2463.3,22.15,0.8188,0.78419,253.52
180,35,8,800,150,15000,600,0,0,1,1,2928.6,21.747,0.8061,0.79588,264.76
160,20,11,800,150,15000,600,0,0,1,1,1038.1,22.841,0.84027,0.79025,234.24
180,20,11,800,150,15000,600,0,0,1,1,1280.5,22.524,0.83047,0.80289,243.07
140,25,11,800,150,15000,600,0,0,1,1,1189.4,22.604,0.83293,0.7634,240.86
160,25,11,800,150,15000,600,0,0,1,1,1497.4,22.208,0.8206,0.78471,251.91
180,25,11,800,150,15000,600,0,0,1,1,1811.8,21.812,0.80815,0.79648,262.95
120,30,11,800,150,15000,600,0,0,1,1,1220.5,22.524,0.83047,0.71983,243.07
140,30,11,800,150,15000,600,0,0,1,1,1592.4,22.049,0.81563,0.75848,256.33
160,30,11,800,150,15000,600,0,0,1,1,1973.3,21.574,0.80062,0.77889,269.58
180,30,11,800,150,15000,600,0,0,1,1,2362.1,21.099,0.78543,0.7897,282.84
120,35,11,800,150,15000,600,0,0,1,1,1562.4,22.049,0.81563,0.7156,256.33
140,35,11,800,150,15000,600,0,0,1,1,2007.6,21.495,0.7981,0.75333,271.79
160,35,11,800,150,15000,600,0,0,1,1,2463.3,20.941,0.78032,0.77276,287.25
180,35,11,800,150,15000,600,0,0,1,1,2928.6,20.386,0.76227,0.78251,302.72
160,20,14,800,150,15000,600,0,0,1,1,1038.1,22.15,0.8188,0.78419,253.52
180,20,14,800,150,15000,600,0,0,1,1,1280.5,21.747,0.8061,0.79588,264.76
140,25,14,800,150,15000,600,0,0,1,1,1189.4,21.848,0.80929,0.75664,261.95
160,25,14,800,150,15000,600,0,0,1,1,1497.4,21.344,0.79328,0.77669,276.01
180,25,14,800,150,15000,600,0,0,1,1,1811.8,20.84,0.77706,0.78713,290.06
120,30,14,800,150,15000,600,0,0,1,1,1220.5,21.747,0.8061,0.71282,264.76
140,30,14,800,150,15000,600,0,0,1,1,1592.4,21.142,0.78681,0.74994,281.63
160,30,14,800,150,15000,600,0,0,1,1,1973.3,20.537,0.76722,0.76869,298.5
180,30,14,800,150,15000,600,0,0,1,1,2362.1,19.933,0.7473,0.77773,315.37
120,35,14,800,150,15000,600,0,0,1,1,1562.4,21.142,0.78681,0.70706,281.63
140,35,14,800,150,15000,600,0,0,1,1,2007.6,20.437,0.76392,0.74286,301.31
160,35,14,800,150,15000,600,0,0,1,1,2463.3,19.731,0.74059,0.76016,320.99
180,35,14,800,150,15000,600,0,0,1,1,2928.6,19.026,0.71679,0.76761,340.67
180,20,8,400,250,15000,600,0,0,1,1,1085.9,23.302,0.82153,0.80948,213.57
160,25,8,400,250,15000,600,0,0,1,1,1302.8,23.071,0.81449,0.79219,220
180,25,8,400,250,15000,600,0,0,1,1,1617.2,22.783,0.80564,0.80513,228.03
120,30,8,400,250,15000,600,0,0,1,1,1025.9,23.302,0.82153,0.72642,213.57
140,30,8,400,250,15000,600,0,0,1,1,1397.9,22.956,0.81096,0.76642,223.21
160,30,8,400,250,15000,600,0,0,1,1,1778.7,22.611,0.8003,0.78827,232.85
180,30,8,400,250,15000,600,0,0,1,1,2167.5,22.265,0.78955,0.8006,242.49
120,35,8,400,250,15000,600,0,0,1,1,1367.9,22.956,0.81096,0.72354,223.21
140,35,8,400,250,15000,600,0,0,1,1,1813,22.553,0.79851,0.76296,234.46
160,35,8,400,250,15000,600,0,0,1,1,2268.8,22.15,0.78594,0.78419,245.7
180,35,8,400,250,15000,600,0,0,1,1,2734,21.747,0.77325,0.79588,256.95
180,20,11,400,250,15000,600,0,0,1,1,1085.9,22.524,0.79762,0.80289,235.26
160,25,11,400,250,15000,600,0,0,1,1,1302.8,22.208,0.78775,0.78471,244.1
180,25,11,400,250,15000,600,0,0,1,1,1617.2,21.812,0.7753,0.79648,255.14
120,30,11,400,250,15000,600,0,0,1,1,1025.9,22.524,0.79762,0.71983,235.26
140,30,11,400,250,15000,600,0,0,1,1,1397.9,22.049,0.78278,0.75848,248.52
160,30,11,400,250,15000,600,0,0,1,1,1778.7,21.574,0.76777,0.77889,261.77
180,30,11,400,250,15000,600,0,0,1,1,2167.5,21.099,0.75257,0.7897,275.02
120,35,11,400,250,15000,600,0,0,1,1,1367.9,22.049,0.78278,0.7156,248.52
140,35,11,400,250,15000,600,0,0,1,1,1813,21.495,0.76525,0.75333,263.98
160,35,11,400,250,15000,600,0,0,1,1,2268.8,20.941,0.74746,0.77276,279.44
180,35,11,400,250,15000,600,0,0,1,1,2734,20.386,0.72942,0.78251,294.91
180,20,14,400,250,15000,600,0,0,1,1,1085.9,21.747,0.77325,0.79588,256.95
160,25,14,400,250,15000,600,0,0,1,1,1302.8,21.344,0.76042,0.77669,268.2
180,25,14,400,250,15000,600,0,0,1,1,1617.2,20.84,0.7442,0.78713,282.25
120,30,14,400,250,15000,600,0,0,1,1,1025.9,21.747,0.77325,0.71282,256.95
140,30,14,400,250,15000,600,0,0,1,1,1397.9,21.142,0.75396,0.74994,273.82
160,30,14,400,250,15000,600,0,0,1,1,1778.7,20.537,0.73437,0.76869,290.69
180,30,14,400,250,15000,600,0,0,1,1,2167.5,19.933,0.71445,0.77773,307.56
120,35,14,400,250,15000,600,0,0,1,1,1367.9,21.142,0.75396,0.70706,273.82
140,35,14,400,250,15000,600,0,0,1,1,1813,20.437,0.73107,0.74286,293.5
160,35,14,400,250,15000,600,0,0,1,1,2268.8,19.731,0.70774,0.76016,313.18
180,35,14,400,250,15000,600,0,0,1,1,2734,19.026,0.68393,0.76761,332.86
180,20,8,600,250,15000,600,0,0,1,1,1082.9,23.302,0.83696,0.80948,218.28
160,25,8,600,250,15000,600,0,0,1,1,1299.9,23.071,0.82992,0.79219,224.71
180,25,8,600,250,15000,600,0,0,1,1,1614.3,22.783,0.82107,0.80513,232.74
120,30,8,600,250,15000,600,0,0,1,1,1022.9,23.302,0.83696,0.72642,218.28
140,30,8,600,250,15000,600,0,0,1,1,1394.9,22.956,0.82639,0.76642,227.92
160,30,8,600,250,15000,600,0,0,1,1,1775.7,22.611,0.81573,0.78827,237.56
180,30,8,600,250,15000,600,0,0,1,1,2164.5,22.265,0.80498,0.8006,247.2
120,35,8,600,250,15000,600,0,0,1,1,1364.9,22.956,0.82639,0.72354,227.92
140,35,8,600,250,15000,600,0,0,1,1,1810,22.553,0.81394,0.76296,239.17
160,35,8,600,250,15000,600,0,0,1,1,2265.8,22.15,0.80137,0.78419,250.41
180,35,8,600,250,15000,600,0,0,1,1,2731.1,21.747,0.78868,0.79588,261.66
180,20,11,600,250,15000,600,0,0,1,1,1082.9,22.524,0.81305,0.80289,239.97
160,25,11,600,250,15000,600,0,0,1,1,1299.9,22.208,0.80318,0.78471,248.81
180,25,11,600,250,15000,600,0,0,1,1,1614.3,21.812,0.79073,0.79648,259.85
120,30,11,600,250,15000,600,0,0,1,1,1022.9,22.524,0.81305,0.71983,239.97
140,30,11,600,250,15000,600,0,0,1,1,1394.9,22.049,0.79821,0.75848,253.22
160,30,11,600,250,15000,600,0,0,1,1,1775.7,21.574,0.7832,0.77889,266.48
180,30,11,600,250,15000,600,0,0,1,1,2164.5,21.099,0.768,0.7897,279.73
120,35,11,600,250,15000,600,0,0,1,1,1364.9,22.049,0.79821,0.7156,253.22
140,35,11,600,250,15000,600,0,0,1,1,1810,21.495,0.78068,0.75333,268.69
160,35,11,600,250,15000,600,0,0,1,1,2265.8,20.941,0.7629,0.77276,284.15
180,35,11,600,250,15000,600,0,0,1,1,2731.1,20.386,0.74485,0.78251,299.61
