design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,ROI,MAU1,MAU2,CAPEX
16,180,35,8,400,250,15000,600,0,0,1,1,2734,0.049634,0.39065,0.41706,256.95
16.1,120,20,11,400,250,15000,600,0,0,1,1,374.1,0.077451,0.55207,0.44626,208.75
16.2,140,20,11,400,250,15000,600,0,0,1,1,606.02,0.071428,0.52628,0.4702,217.59
16.3,160,20,11,400,250,15000,600,0,0,1,1,843.49,0.065876,0.50114,0.47671,226.43
16.4,180,20,11,400,250,15000,600,0,0,1,1,1085.9,0.060741,0.47663,0.47444,235.26
16.5,120,25,11,400,250,15000,600,0,0,1,1,694.1,0.068597,0.51363,0.4181,222.01
16.6,140,25,11,400,250,15000,600,0,0,1,1,994.87,0.061989,0.4827,0.43861,233.05
16.7,160,25,11,400,250,15000,600,0,0,1,1,1302.8,0.055978,0.4244,0.43649,244.1
16.8,180,25,11,400,250,15000,600,0,0,1,1,1617.2,0.050488,0.39531,0.42079,255.14
16.9,120,30,11,400,250,15000,600,0,0,1,1,1025.9,0.060741,0.47663,0.39138,235.26
17,140,30,11,400,250,15000,600,0,0,1,1,1397.9,0.053723,0.41264,0.41461,248.52
17.1,160,30,11,400,250,15000,600,0,0,1,1,1778.7,0.047416,0.37835,0.39957,261.77
17.2,180,30,11,400,250,15000,600,0,0,1,1,2167.5,0.041717,0.34548,0.38124,275.02
17.3,120,35,11,400,250,15000,600,0,0,1,1,1367.9,0.053723,0.41264,0.39317,248.52
17.4,140,35,11,400,250,15000,600,0,0,1,1,1813,0.046427,0.37277,0.38273,263.98
17.5,160,35,11,400,250,15000,600,0,0,1,1,2268.8,0.039937,0.33483,0.36518,279.44
17.6,180,35,11,400,250,15000,600,0,0,1,1,2734,0.034128,0.29867,0.34471,294.91
17.7,120,20,14,400,250,15000,600,0,0,1,1,374.1,0.067844,0.51021,0.41561,223.21
17.8,140,20,14,400,250,15000,600,0,0,1,1,606.02,0.061192,0.47884,0.43584,234.46
17.9,160,20,14,400,250,15000,600,0,0,1,1,843.49,0.055149,0.42011,0.43302,245.7
18,180,20,14,400,250,15000,600,0,0,1,1,1085.9,0.049634,0.39065,0.41706,256.95
18.1,120,25,14,400,250,15000,600,0,0,1,1,694.1,0.0581,0.43524,0.41141,240.08
18.2,140,25,14,400,250,15000,600,0,0,1,1,994.87,0.050967,0.39791,0.40279,254.14
18.3,160,25,14,400,250,15000,600,0,0,1,1,1302.8,0.044582,0.36224,0.38678,268.2
18.4,180,25,14,400,250,15000,600,0,0,1,1,1617.2,0.038834,0.32812,0.36762,282.25
18.5,120,30,14,400,250,15000,600,0,0,1,1,1025.9,0.049634,0.39065,0.37554,256.95
18.6,140,30,14,400,250,15000,600,0,0,1,1,1397.9,0.042212,0.34841,0.36346,273.82
18.7,160,30,14,400,250,15000,600,0,0,1,1,1778.7,0.035651,0.30836,0.34453,290.69
18.8,180,30,14,400,250,15000,600,0,0,1,1,2167.5,0.02981,0.27033,0.32291,307.56
18.9,120,35,14,400,250,15000,600,0,0,1,1,1367.9,0.042212,0.34841,0.34202,273.82
19,140,35,14,400,250,15000,600,0,0,1,1,1813,0.034631,0.30189,0.32711,293.5
19.1,160,35,14,400,250,15000,600,0,0,1,1,2268.8,0.028003,0.25807,0.30587,313.18
