design_id,capability,propulsion,fuel_mass,dfc,payload,speed,deltav,base_mass,mass_fraction,isp,dry_mass,wet_mass,cost,mau_1_1,fpn_1_1,mau_2_1,fpn_2_1,mau_3_1,fpn_3_1,mau_4_1,fpn_4_1,mau_5_1,fpn_5_1,mau_6_1,fpn_6_1,mau_7_1,fpn_7_1,mau_8_1,fpn_8_1,mau_1_2,fpn_1_2,mau_2_2,fpn_2_2,mau_3_2,fpn_3_2,mau_4_2,fpn_4_2,mau_5_2,fpn_5_2,mau_6_2,fpn_6_2,mau_7_2,fpn_7_2,mau_8_2,fpn_8_2,capability_name,propulsion_name
166,1,0,3000,1,1000,1,2258.2,0,0.12,300,2596,5596,445.36,0.50056,4.7975,0.52352,0.75722,NaN,NaN,0.57676,0.48218,0.19852,2.0327,0.28816,4.7975,NaN,NaN,0.56056,4.5699,0.50056,5.2983,0.52352,1.0754,NaN,NaN,0.57676,0.50974,0.19852,3.265,0.28816,5.2983,NaN,NaN,0.56056,5.1584,Medium,Biprop
167,1,0,10000,1,1000,1,3956.4,0,0.12,300,3520,13520,663.2,0.66644,4.114,0.57881,1.5796,NaN,NaN,0.60441,0.83675,0.25381,2.144,0.37702,7.984,NaN,NaN,0.72644,5.2193,0.66644,7.1256,0.57881,2.3663,NaN,NaN,0.60441,2.3663,0.25381,2.3663,0.37702,9.1589,NaN,NaN,0.72644,6.9947,Medium,Biprop
168,1,0,30000,1,1000,1,5203.4,0,0.12,300,6160,36160,1285.6,0.7271,9.9413,0.59903,5.5504,0.42841,14.518,0.61678,4.7501,0.27403,5.1573,0.46276,17.088,0.21807,11.98,0.7871,9.9413,0.7271,13.258,0.59903,7.128,0.42841,18.527,0.61678,7.128,0.27403,7.128,0.46276,20.189,0.21807,14.676,0.7871,11.597,Medium,Biprop
169,1,1,30,1,1000,1,59.615,0,0.13,450,2204.3,2234.3,352.99,0.28582,3.6241,0.45194,0.43749,NaN,NaN,0.54097,0.35443,0.12694,3.4462,0.17312,3.6159,NaN,NaN,0.34582,3.6311,0.28712,3.8298,0.45237,0.45758,NaN,NaN,0.54119,0.35569,0.12737,3.6612,0.17381,3.8298,NaN,NaN,0.34712,3.7278,Medium,Cryo
170,1,1,100,1,1000,1,194.79,0,0.13,450,2214.3,2314.3,355.29,0.29903,3.6577,0.45634,0.38807,NaN,NaN,0.54317,0.38109,0.13134,3.4798,0.18019,3.6495,NaN,NaN,0.35903,3.6577,0.30325,3.8703,0.45775,0.3962,NaN,NaN,0.54388,0.38876,0.13275,3.7017,0.18246,3.8703,NaN,NaN,0.36325,3.7601,Medium,Cryo
171,1,1,300,1,1000,1,553.61,0,0.13,450,2242.9,2542.9,361.86,0.33407,3.7457,0.46802,0.35612,NaN,NaN,0.54901,0.34211,0.14302,3.5761,0.19897,3.7457,NaN,NaN,0.39407,3.7539,0.34609,3.9861,0.47203,0.35358,NaN,NaN,0.55102,0.34052,0.14703,3.8174,0.20541,3.9861,NaN,NaN,0.40609,3.873,Medium,Cryo
172,1,1,600,1,1000,1,1027.9,0,0.13,450,2285.8,2885.8,371.73,0.3804,3.8901,0.48347,0.32183,NaN,NaN,0.55673,0.24417,0.15847,3.4658,0.22379,3.8901,NaN,NaN,0.4404,3.7631,0.40271,4.1597,0.4909,0.39331,NaN,NaN,0.56045,0.18624,0.1659,3.4503,0.23574,4.1597,NaN,NaN,0.46271,3.8824,Medium,Cryo
173,1,1,1200,1,1000,1,1805.7,0,0.13,450,2371.6,3571.6,391.46,0.45637,4.1786,0.50879,0.50465,NaN,NaN,0.56939,0.23868,0.18379,2.4973,0.26448,4.0089,NaN,NaN,0.51637,3.8094,0.49556,4.3383,0.52185,0.53348,NaN,NaN,0.57593,0.29168,0.19685,2.5576,0.28548,4.3383,NaN,NaN,0.55556,4.2213,Medium,Cryo
174,1,1,3000,1,1000,1,3357.5,0,0.13,450,2629,5629,450.64,0.60794,4.8747,0.55931,0.55945,NaN,NaN,0.59466,0.37499,0.23431,1.0041,0.34568,4.8747,NaN,NaN,0.66794,3.8361,0.68081,3.3467,0.5836,0.59135,NaN,NaN,0.6068,0.38467,0.2586,1.157,0.38472,5.3799,NaN,NaN,0.74081,3.9578,Medium,Cryo
175,1,1,10000,1,1000,1,5834.6,0,0.13,450,3630,13630,680.8,0.74604,4.3709,0.60535,1.0942,0.50415,5.5511,0.62151,1.0942,0.28035,1.0942,0.5101,8.2415,0.23069,2.7805,0.80604,4.3709,0.78494,2.6383,0.61831,2.1104,0.65974,7.2655,0.63123,0.88185,0.29331,1.9609,0.60734,9.178,0.25662,3.7483,0.84494,3.5065,Medium,Cryo
176,1,1,30000,1,1000,1,7615.1,0,0.13,450,6490,36490,1338.4,0.79945,6.4129,0.62315,5.5225,0.71781,14.18,0.63486,5.5225,0.29815,5.5225,0.64363,17.606,0.2663,12.783,0.85945,6.413,0.83633,4.9922,0.63544,7.9444,0.83267,8.733,0.64,7.9444,0.31044,7.9444,0.73584,14.566,0.32356,9.3197,0.89633,4.3666,Medium,Cryo
177,1,2,30,1,1000,0,391.59,25,0.3,3000,2237.4,2267.4,358.28,0.21825,3.7917,0.36275,0.54724,NaN,NaN,0.24637,3.8239,0.087749,3.6934,0.14049,3.7016,NaN,NaN,NaN,NaN,0.21828,3.9992,0.36276,0.5744,NaN,NaN,0.24638,4.0382,0.087759,3.9077,0.14051,3.9077,NaN,NaN,NaN,NaN,Medium,Electric
178,1,2,100,1,1000,0,1272.7,25,0.3,3000,2260.5,2360.5,362.68,0.30431,3.7659,0.39144,0.61156,NaN,NaN,0.26072,3.8882,0.11644,3.588,0.18659,3.7577,NaN,NaN,NaN,NaN,0.3046,3.9711,0.39153,0.6378,NaN,NaN,0.26077,4.1016,0.11653,3.8023,0.18675,3.9711,NaN,NaN,NaN,NaN,Medium,Electric
179,1,2,300,1,1000,0,3565.8,25,0.3,3000,2326.5,2626.5,375.24,0.52829,3.7717,0.4661,0.5518,NaN,NaN,0.29805,3.8144,0.1911,1.7579,0.30658,3.7717,NaN,NaN,NaN,NaN,0.53063,3.9834,0.46688,0.67053,NaN,NaN,0.29844,3.9704,0.19188,2.6586,0.30784,3.9834,NaN,NaN,NaN,NaN,Medium,Electric
180,1,2,600,1,1000,0,6498.5,25,0.3,3000,2425.5,3025.5,394.08,0.66596,2.7489,0.51199,0.51611,NaN,NaN,0.32649,3.8197,0.23699,0.51611,0.50989,4.0473,0.043971,0.53664,NaN,NaN,0.66837,2.9302,0.51279,0.53815,NaN,NaN,0.32709,3.9141,0.23779,0.92619,0.51591,4.255,0.045577,0.54663,NaN,NaN,Medium,Electric
181,1,2,1200,1,1000,0,11074,25,0.3,3000,2623.5,3823.5,431.76,0.76498,0.7279,0.54499,0.5349,NaN,NaN,0.34,3.5599,0.26999,0.497,0.75745,4.344,0.19994,0.5805,NaN,NaN,0.76882,1.4693,0.54627,0.4057,NaN,NaN,0.34,3.6393,0.27127,0.377,0.76706,4.5452,0.2102,0.58433,NaN,NaN,Medium,Electric
182,1,2,3000,1,1000,0,19368,25,0.3,3000,3217.5,6217.5,544.8,0.78,1.1433,0.55,1.8261,NaN,NaN,0.34,4.4111,0.275,0.0001,0.87,0.0001,0.39494,0.5145,NaN,NaN,0.78,1.1433,0.55,1.6391,NaN,NaN,0.34,5.103,0.275,0.0000513,0.87,0.0000513,0.4,0.000084,NaN,NaN,Medium,Electric
183,1,2,10000,1,1000,0,30367,25,0.3,3000,5527.5,15528,984.4,0.78,5.5353,0.55,5.5353,NaN,NaN,0.34,9.7061,0.275,3.3695,0.87,1.2347,0.4,1.2838,NaN,NaN,0.78,5.9723,0.55,5.9723,NaN,NaN,0.34,9.6004,0.275,3.8139,0.87,0.93402,0.4,0.94876,NaN,NaN,Medium,Electric
184,1,2,30000,1,1000,0,36610,25,0.3,3000,12128,42128,2240.4,0.78,11.433,0.55,18.717,NaN,NaN,0.34,25.991,0.275,18.162,0.87,6.5141,0.4,17.208,NaN,NaN,0.78,11.433,0.55,17.81,NaN,NaN,0.34,26.083,0.275,17.258,0.87,6.5142,0.4,17.853,NaN,NaN,Medium,Electric
185,1,3,30,1,1000,1,132.77,1000,0.2,1500,3306.6,3336.6,529.36,0.29297,6.204,0.45432,2.7922,NaN,NaN,0.54216,2.5219,0.12932,6.0261,0.17695,6.1958,NaN,NaN,0.35297,6.204,0.29495,5.4685,0.45498,1.9869,NaN,NaN,0.54249,1.823,0.12998,5.2998,0.17801,5.4685,NaN,NaN,0.35495,5.3198,Medium,Nuclear
186,1,3,100,1,1000,1,435.98,1000,0.2,1500,3322,3422,532.52,0.32258,6.2421,0.46419,2.5963,NaN,NaN,0.5471,2.4816,0.13919,5.8179,0.19281,6.2421,NaN,NaN,0.38258,6.2503,0.32898,5.5224,0.46633,1.8768,NaN,NaN,0.54816,1.5489,0.14133,5.1094,0.19624,5.5224,NaN,NaN,0.38898,5.3724,Medium,Nuclear
187,1,3,300,1,1000,1,1255,1000,0.2,1500,3366,3666,541.56,0.40258,6.3743,0.49086,2.6735,NaN,NaN,0.56043,1.8941,0.16586,4.3115,0.23567,6.2047,NaN,NaN,0.46258,6.2474,0.42015,5.6762,0.49672,1.7907,NaN,NaN,0.56336,1.5561,0.17172,4.1827,0.24508,5.5075,NaN,NaN,0.48015,5.3625,Medium,Nuclear
188,1,3,600,1,1000,1,2368.5,1000,0.2,1500,3432,4032,555.12,0.51134,6.403,0.52711,2.3627,NaN,NaN,0.57856,1.9945,0.20211,2.8718,0.29393,6.403,NaN,NaN,0.57134,6.1754,0.54242,5.7383,0.53747,1.3643,NaN,NaN,0.58374,0.94971,0.21247,2.4094,0.31058,5.7383,NaN,NaN,0.60242,5.2677,Medium,Nuclear
189,1,3,1200,1,1000,1,4266,1000,0.2,1500,3564,4764,582.24,0.69668,2.9291,0.58889,0.48183,NaN,NaN,0.60945,0.30594,0.26389,1.1239,0.39322,6.7997,NaN,NaN,0.75668,3.5744,0.71435,2.9201,0.59478,0.43832,0.37742,4.7879,0.61359,0.30365,0.26978,0.52777,0.43089,6.1998,0.20957,2.0082,0.77435,4.0665,Medium,Nuclear
